RECORD #(BIBLIO),TITLE,AUTHOR,008 Date One,260|b,260|c,CALL #(BIBLIO),TOT CHKOUT,LOUTDATE
b5083826x,"Entrepreneurship : successfully launching new ventures / Bruce R. Barringer, R. Duane Ireland.","Barringer, Bruce R.",2012,"Pearson/Prentice Hall,",c2012.,HB615 .B374 2012,17,1/29/2014 15:33
b22813858,Entrepreneurs are made not born / Lloyd E. Shefsky,"Shefsky, Lloyd E.",1994,"McGraw-Hill,",c1994,HB615 .S495 1994,12,1/6/2013 14:11
b26603573,"Sociû?tû? de consommation. English;""The consumer society : myths and structures / Jean Baudrillard.""","Baudrillard, Jean, 1929-2007.",1998,"Sage,",c1998.,HB801 .B35513 1998,21,1/8/2014 11:26
b19789920,Consumption and the world of goods / edited by John Brewer and Roy Porter,,1993,"Routledge,",1993,HB801 .C657 1993,56,6/23/2014 17:54
b35958340,Let my people go surfing : the education of a reluctant businessman / Yvon Chouinard.,"Chouinard, Yvon, 1938-",2005,"Penguin Press,",2005,HC102.5 .C42 2005,16,1/25/2013 19:20
b27606831,The monk and the riddle : the education of a Silicon Valley entrepreneur / Randy Komisar with Kent Lineback.,"Komisar, Randy, 1954-",2000,"Harvard Business School Press,",c2000.,HC102.5.K66 A3 2000,13,2/13/2013 11:35
b27331209,"Natural capitalism : creating the next industrial revolution / Paul Hawken, Amory Lovins, and L. Hunter Lovins.","Hawken, Paul.",1999,"Little, Brown and Co.,",c1999.,HC106.82 .H39 1999,39,1/7/2014 13:46
b29592690,Regional advantage : culture and competition in Silicon Valley and Route 128 / AnnaLee Saxenian.,"Saxenian, AnnaLee.",1994,"Harvard University Press,",1994,HC107.C22 N677 1994,10,6/25/2014 10:35
b2682730x,"Losing my virginity : how I've survived, had fun, and made a fortune doing business my way / Richard Branson.","Branson, Richard.",1998,"Times Business,",c1998.,HC252.5.B73 B73 1998,25,11/4/2013 11:14
b26734795,Doing business in today's India / Douglas Bullis.,"Bullis, Douglas.",1998,"Quorum,",1998,HC435.2 .B86 1998,19,11/22/2011 17:29
b23591754,"East Asia and the world economy / Alvin Y. So, Stephen W.K. Chiu","So, Alvin Y., 1953-",1995,"Sage Publications,",1995,HC460.5 .S63 1995,10,7/23/2010 9:38
b27624456,Resource economics / Jon M. Conrad.,"Conrad, Jon M.",1999,"Cambridge University Press,",1999,HC59.15 .C656 1999,15,10/4/2012 12:53
b13410210,Marketing high technology : an insider's view / William H. Davidow,"Davidow, William H.",1986,"Free Press  ;""Collier Macmillan,""",c1986,HC79.H53 D38 1986,11,1/11/2013 18:05
b23692467,Inside the tornado : marketing strategies from Silicon Valley's cutting edge / Geoffrey A. Moore,"Moore, Geoffrey A., 1946-",1995,"HarperBusiness,",c1995,HC79.H53 M66 1995,16,6/15/2011 17:52
b35965848,"Technology ventures : from idea to enterprise / Richard Dorf, Thomas H. Byers.","Dorf, Richard C.",2005,"McGraw-Hill,",c2005.,HC79.I55 D674 2005,10,1/7/2014 14:44
b38357872,"Technology ventures : from idea to enterprise / Richard C. Dorf, Thomas H. Byers.","Dorf, Richard C.",2008,"McGraw-Hill Higher Education,",c2008.,HC79.I55 D674 2008,17,3/4/2014 11:41
b27283112,"Blown to bits : how the new economics of information transforms strategy / Philip Evans, Thomas S. Wurster.","Evans, Philip, 1950-",2000,"Harvard Business School Press,",c2000.,HC79.I55 E93 2000,10,1/15/2010 16:13
b29086383,"Triumph of the optimists : 101 years of global investment returns / Elroy Dimson, Paul Marsh, Mike Staunton.","Dimson, Elroy, 1947-",2002,"Princeton University Press,",c2002.,HC79.P7 D56 2002,11,5/12/2010 15:04
b22872243,Out of control : the rise of neo-biological civilization / Kevin Kelly,"Kelly, Kevin, 1952-",1994,"Addison-Wesley,",c1994,HC79.T4 K44 1994,14,3/23/2011 10:43
b20620998,Real estate : a case study approach / William J. Poorvu,"Poorvu, William J., 1935-",1993,"Regents/Prentice Hall,",c1993,HD1375 .P664 1993,12,11/1/2012 19:09
b4205543x,Applied mergers and acquisitions workbook / Robert F. Bruner.,"Bruner, Robert F., 1949-",2004,"Wiley,",c2004.,HD2746.5 .B783 2004 suppl.,10,9/16/2013 9:41
b49097027,Corporate takeovers : modern empirical developments / edited by B. Espen Eckbo.,,2010,"Academic Press,",c2010.,HD2746.5 .C67 2010,48,2/28/2014 11:53
b49097027,Corporate takeovers : modern empirical developments / edited by B. Espen Eckbo.,,2010,"Academic Press,",c2010.,HD2746.5 .C67 2010,37,2/28/2014 11:53
b28557736,"Mergers, acquisitions, and other restructuring activities : an integrated approach to process, tools, cases, and solutions / Donald DePamphilis.","DePamphilis, Donald M.",2001,"Academic Press,",c2001.,HD2746.5 .D46 2001,12,3/25/2014 13:16
b29018213,"Mergers, acquisitions, and corporate restructuring / Patrick A. Gaughan.","Gaughan, Patrick A.",2002,"Wiley,",c2002.,HD2746.5 .G38 2002,19,9/14/2011 11:32
b26927019,"The art of M&A : a merger acquisition buyout guide / Stanley Foster Reed, Alexandra Reed Lajoux.","Reed, Stanley Foster.",1999,"McGraw-Hill,",1999,HD2746.5 .R44 1999,18,9/23/2013 16:52
b23661793,The essence of mergers and acquisitions / Sudi Sudarsanam,"Sudarsanam, P. S.",1995,"Prentice Hall,",1995,HD2746.55.G7 S83 1995,11,1/9/2013 14:42
b27468707,Big deal : 2000 and beyond / Bruce Wasserstein.,"Wasserstein, Bruce.",2000,"Warner Books,",c2000.,HD2746.55.U5 W37 2000,18,3/1/2014 17:09
b24132482,Socializing capital : the rise of the large industrial corporation in America / William G. Roy.,"Roy, William G., 1946-",1996,"Princeton University Press,",1996,HD2785 .R598 1996,14,2/25/2010 11:17
b26844060,Barbarians at the gate : the fall of RJR Nabisco / Bryan Burrough and John Helyar.,"Burrough, Bryan, 1961-",1991,"HarperPerennial,",1991,HD2796.R57 B97 1991,39,9/13/2013 15:12
b29177819,"Cultivating communities of practice : a guide to managing knowledge / Etienne Wenger, Richard McDermott, William M. Snyder.","Wenger, Etienne, 1952-",2002,"Harvard Business School Press,",c2002.,HD30.2 .W46 2002,10,12/20/2013 12:08
b12214966,"Economics, organization, and management / Paul Milgrom, John Roberts","Milgrom, Paul R. (Paul Robert), 1948-",1992,"Prentice-Hall,",c1992,HD30.22 .M55 1992,16,4/22/2013 11:05
b29435870,Managerial economics / Ivan Png.,"Png, Ivan, 1957-",2002,"Blackwell Publishers,",2002,HD30.22 .P62 2002,20,5/1/2012 15:52
b4380438x,"Making hard decisions with DecisionTools / Robert T. Clemen, Terence Reilly.","Clemen, Robert T. (Robert Taylor), 1952-",2001,"Duxbury/Thomson Learning,",2001,HD30.23 .C577 2001,43,9/16/2014 18:03
b26389794,Sources of power : how people make decisions / Gary Klein.,"Klein, Gary A.",1998,"MIT Press,",c1998.,HD30.23 .K456 1998,20,9/21/2011 11:25
b22898177,"A primer on decision making : how decisions happen / James G. March, with the assistance of Chip Heath","March, James G.",1994,"Free Press  ;""Maxwell Macmillan Canada  "";""Maxwell Macmillan International,""",c1994,HD30.23 .M368 1994,26,2/6/2013 10:56
b38042290,"Hard facts, dangerous half-truths, and total nonsense : profiting from evidence-based management / Jeffrey Pfeffer, Robert I. Sutton.","Pfeffer, Jeffrey.",2006,"Harvard Business School Press,",c2006.,HD30.23 .P468 2006,12,4/9/2014 11:19
b23625855,Spreadsheet modeling and decision analysis : a practical introduction to management science / Cliff T. Ragsdale,"Ragsdale, Cliff T., 1960-",1995,"Course Technology, Inc.,",c1995,HD30.23 .R34 1995,18,12/1/2010 16:15
b23984260,"Management science : modeling, analysis, and interpretation / Jeffrey D. Camm, James R. Evans.","Camm, Jeffrey D., 1958-",1996,"South-Western College Pub.,",c1996.,HD30.25 .C36 1996,13,11/25/2012 20:05
b26150360,Games businesses play : cases and models / Pankaj Ghemawat.,"Ghemawat, Pankaj.",1997,"MIT Press,",1997,HD30.26 .G47 1997,18,4/18/2013 10:55
b26435512,Forecasting : methods and applications.,"Makridakis, Spyros G.",1998,"Wiley,",1998,HD30.27 .M34 1998,15,5/15/2012 9:37
b23557643,The McGraw-Hill guide to writing a high-impact business plan : a proven blueprint for entrepreneurs / James B. Arkebauer,"Arkebauer, James B., 1939-",1995,"McGraw-Hill,",c1995,HD30.28 .A75 1995,17,3/5/2010 15:39
b36359932,Economics of strategy / David Besanko ... [et al.].,"Besanko, David, 1955-",2004,"Wiley,",c2004.,HD30.28 .B4575 2004,13,8/27/2014 11:09
b26219062,Co-opetition / Adam M. Brandenburger and Barry J. Nalebuff.,"Brandenburger, Adam.",1996,"Doubleday,",1996,HD30.28 .B696 1996,15,4/28/2014 14:46
b23663236,Strategic planning for public and nonprofit organizations : a guide to strengthening and sustaining organizational achievement / John M. Bryson,"Bryson, John M. (John Moore), 1947-",1995,"Jossey-Bass Publishers,",c1995,HD30.28 .B79 1995,14,9/9/2012 8:33
b2275149x,"Hypercompetition : managing the dynamics of strategic maneuvering / Richard A. D'Aveni, with Robert Gunther   foreword by Ian C. MacMillan","D'Aveni, Richard A.",1994,"The Free Press  ;""Maxwell Macmillan Canada  "";""Maxwell Macmillan International,""",c1994,HD30.28 .D375 1994,42,11/18/2012 13:05
b29435869,"Economics of strategy / David Besanko, David Dranove, Mark Shanley.",,2000,"Wiley,",c2000.,HD30.28 .E25 2000,17,4/2/2012 18:48
b28834240,"Strategy and the business landscape : text and cases / Pankaj Ghemawat, with David J. Collis, Gary P. Pisano, Jan W. Rivkin.","Ghemawat, Pankaj.",1999,"Addison-Wesley,",c1999.,HD30.28 .G484 1999,32,2/19/2014 17:56
b47388274,Contemporary strategy analysis : text and cases / Robert M. Grant.,"Grant, Robert M., 1948-",2010,"Wiley,",2010,HD30.28 .G7213 2010,15,2/20/2014 8:47
b26637273,"Perspectives on strategy from the Boston Consulting Group / edited by Carl W. Stern and George Stalk, Jr.",,1998,"J. Wiley,",c1998.,HD30.28 .P373 1998,18,9/13/2011 12:39
b2820895x,The portable MBA in strategy / edited by Liam Fahey and Robert M. Randall.,,2001,"Wiley,",c2001.,HD30.28 .P674 2001,12,5/18/2012 16:18
b31409507,Bankable business plans / Edward G. Rogoff   foreword by Jeff Bezos.,"Rogoff, Edward G., 1951-",2004,"Thomson/Texere,",c2004.,HD30.28 .R644 2004,11,11/13/2012 17:52
b27802334,The definitive business plan : the fast-track to intelligent business planning for executives and entrepreneurs / Richard Stutely.,"Stutely, Richard, 1955-",1999,"Financial Times/ Prentice Hall,",1999,HD30.28 .S788  1999,13,7/16/2012 14:10
b2645922x,Business plans for dummies / by Paul Tiffany and Steven Peterson   foreword by John B. Schulze.,"Tiffany, Paul.",1997,"IDG Books,",c1997.,HD30.28 .T575 1997,16,1/11/2013 18:06
b22647922,Corporate communication / Paul A. Argenti,"Argenti, Paul A.",1994,"Irwin,",c1994,HD30.3 .A73 1994,34,8/28/2014 17:50
b26318301,Corporate communication / Paul A. Argenti.,"Argenti, Paul A.",1998,"Irwin/McGraw-Hill,",c1998.,HD30.3 .A73 1998,45,1/9/2014 11:40
b2990724x,Corporate communication / Paul A. Argenti.,"Argenti, Paul A.",2003,"McGraw-Hill/Irwin,",c2003.,HD30.3 .A73 2003,31,8/18/2014 13:05
b36614208,Corporate communication / Paul A. Argenti.,"Argenti, Paul A.",2007,"McGraw-Hill/Irwin,",c2007.,HD30.3 .A73 2007,13,1/3/2014 14:48
b46918413,Corporate communication / Paul A. Argenti.,"Argenti, Paul A.",2009,"McGraw-Hill Irwin,",c2009.,HD30.3 .A73 2009,13,2/6/2014 14:45
b28208997,"The new handbook of organizational communication : advances in theory, research, and methods / Fred M. Jablin, Linda L. Putnam, editors.",,2001,"Sage Publications,",c2001.,HD30.3 .H3575 2001,11,11/21/2011 11:23
b26410473,Riding the waves of culture : understanding cultural diversity in global business / Fons Trompenaars and Charles Hampden-Turner.,"Trompenaars, Alfons.",1998,"McGraw Hill,",c1998.,HD30.55 .T76 1998,12,8/20/2012 12:38
b2391886x,"The Dilbert principle : a cubicle's-eye view of bosses, meetings, management fads & other workplace afflictions / Scott Adams.","Adams, Scott, 1957-",1996,"HarperBusiness,",c1996.,HD31 .A294 1996,18,5/13/2012 21:09
b30121024,"Management control systems / Robert N. Anthony, Vijay Govindarajan.","Anthony, Robert N. (Robert Newton), 1916-2006.",2004,"McGraw-Hill,",2004,HD31 .A589 2004,87,4/18/2011 14:17
b35621813,Execution : the discipline of getting things done / Larry Bossidy and Ram Charan   with Charles Burck.,"Bossidy, Larry.",2002,"Crown Business,",c2002.,HD31 .B626 2002,14,12/7/2013 15:44
b2422909x,"The living company / Arie de Gues, foreward by Peter M. Senge.","Geus, Arie de.",1997,"Harvard Business School Press,",c1997.,HD31 .G438 1997,13,6/9/2010 9:37
b24219241,"Managing strategic innovation and change : a collection of readings / [edited by] Michael L. Tushman, Philip Anderson.",,1997,"Oxford University Press,",c1997.,HD31 .M29425 1997,31,2/2/2012 15:52
b24247625,Administrative behavior : a study of decision-making processes in administrative organizations / Herbert A. Simon.,"Simon, Herbert A. (Herbert Alexander), 1916-2001.",1997,"Free Press,",c1997.,HD31 .S55 1997,34,9/18/2012 11:34
b23387051,"Product design and development / Karl T. Ulrich, Steven D. Eppinger","Ulrich, Karl T.",1995,"McGraw-Hill,",c1995,HD31 .U47 1995,11,1/14/2013 12:03
b41245234,"Product design and development / Karl T. Ulrich, Steven D. Eppinger.","Ulrich, Karl T.",2008,"McGraw-Hill Higher Education,",c2008.,HD31 .U47 2008,14,2/19/2014 11:12
b22260638,A theory of incentives in procurement and regulation / Jean-Jacques Laffont and Jean Tirole,"Laffont, Jean-Jacques, 1947-2004.",1993,"MIT Press,",c1993,HD3612 .L33 1993,12,1/21/2010 12:17
b29954356,Why smart executives fail and what you can learn from their mistakes / Sydney Finkelstein.,"Finkelstein, Sydney.",2003,"Portfolio,",2003,HD38.2 .F56 2003,18,5/29/2014 23:01
b26757746,Working with emotional intelligence / Daniel Goleman.,"Goleman, Daniel.",1998,"Bantam Books,",1998,HD38.2 .G647 1998,15,1/27/2014 16:18
b27185618,"Breaking through : the making of minority executives in corporate America / David A. Thomas, John J. Gabarro.","Thomas, David A., 1956-",1999,"Harvard Business School Press,",c1999.,HD38.25.U6 T47 1999,13,3/2/2011 21:57
b2670013x,Supply chain management : the basics and beyond / William C. Copacino.,"Copacino, William C., 1950-",1997,"St. Lucie Press  ;""APICS,""",c1997.,HD38.5 .C663 1997,10,3/15/2013 13:58
b40164147,Competing on analytics : the new science of winning / Thomas H. Davenport and Jeanne G. Harris.,"Davenport, Thomas H., 1954-",2007,"Harvard Business School Press,",c2007.,HD38.7 .D38 2007,15,6/2/2014 11:15
b26280279,"Inventory management and production planning and scheduling / Edward A. Silver, David F. Pyke, Rein Peterson.","Silver, Edward A. (Edward Allen), 1937-",1998,"J. Wiley,",c1998.,HD40 .S549 1998,120,1/29/2014 12:39
b2317139x,"Competing for the future / Gary Hamel, C.K. Prahalad","Hamel, Gary.",1994,"Harvard Business School Press,",c1994,HD41 .H24 1994,21,5/7/2012 18:06
b14474578,Cases in competitive strategy / Michael E. Porter,"Porter, Michael E., 1947-",1983,"Free Press  ;""Collier Macmillan,""",c1983,HD41 .P667 1983,27,7/24/2013 11:08
b28614653,Competitive strategy : techniques for analyzing industries and competitors : with a new introduction / Michael E. Porter.,"Porter, Michael E., 1947-",1998,"Free Press,",1998,HD41 .P67 1998,39,10/4/2013 11:16
b48989344,How Stella saved the farm : a wild and woolly yarn about making innovation happen / Vijay Govindarajan and Chris Trimble   illustrated by Keny Widjaja.,"Govindarajan, Vijay.",2010,"Franklin Green Pub.,",c2010.,HD45 .G618 2010,16,1/23/2014 8:26
b4879952x,"The other side of innovation : solving the execution challenge / Vijay Govindarajan, Chris Trimble.","Govindarajan, Vijay.",2010,"Harvard Business School Pub.,",c2010.,HD45 .G62 2010,19,1/17/2014 17:52
b38752323,Strategic management of technological innovation / Melissa A. Schilling.,"Schilling, Melissa A.",2008,"McGraw-Hill/Irwin,",c2008.,HD45 .S3353 2008,10,9/18/2013 12:03
b2882801x,"Managing the unexpected : assuring high performance in an age of complexity / Karl E. Weick, Kathleen M. Sutcliffe.","Weick, Karl E.",2001,"Jossey-Bass,",c2001.,HD49 .W45 2001,13,5/28/2013 11:43
b25813766,The innovator's dilemma : when new technologies cause great firms to fail / Clayton M. Christensen.,"Christensen, Clayton M.",1997,"Harvard Business School Press,",c1997.,HD53 .C49 1997,36,1/9/2014 10:53
b48028174,The innovator's dilemma : when new technologies cause great firms to fail / Clayton M. Christensen.,"Christensen, Clayton M.",2000,"HarperBusiness,",2000,HD53 .C49 2000,15,6/5/2014 9:36
b49795016,"From idea to success : the Dartmouth entrepreneurial network's guide for start-ups / Gregg Fairbrothers, Tessa M. Winter.","Fairbrothers, Gregg.",2011,"McGraw-Hill,",c2011.,HD53 .F35 2011,14,1/15/2014 14:07
b24047259,"The balanced scorecard : translating strategy into action / Robert S. Kaplan, David P. Norton.","Kaplan, Robert S.",1996,"Harvard Business School Press,",c1996.,HD56 .K35 1996,14,6/6/2010 13:16
b28927084,Good to great : why some companies make the leap-- and others don't / Jim Collins.,"Collins, James C. (James Charles), 1958-",2001,"HarperBusiness,",c2001.,HD57.7 .C645 2001,45,7/7/2014 11:14
b36864821,Good to great and the social sectors : why business thinking is not the answer : a monograph to accompany Good to great : why some companies make the leap--and others don't / Jim Collins.,"Collins, James C. (James Charles), 1958-",2005,"J. Collins],",c2005.,HD57.7 .C6452 2005,20,12/18/2012 14:36
b2278438x,Leadership is an art / Max De Pree,"De Pree, Max.",1990,"Dell,","1990, c1989",HD57.7 .D46 1990,11,2/15/2011 12:50
b22470980,Leadership jazz / Max De Pree,"De Pree, Max.",1992,"Currency Doubleday,",1992,HD57.7 .D47 1992,12,2/7/2014 11:44
b29754501,"Primal leadership : realizing the power of emotional intelligence / Daniel Goleman, Richard Boyatzis, Annie McKee.","Goleman, Daniel.",2002,"Harvard Business School Press,",c2002.,HD57.7 .G664 2002,24,1/23/2014 12:02
b2980338x,Leading teams : setting the stage for great performances / J. Richard Hackman.,"Hackman, J. Richard.",2002,"Harvard Business School Press,",2002,HD57.7 .H336 2002,20,4/1/2014 11:13
b41781120,"Leadership presence : dramatic techniques to reach out, motivate, and inspire / Belle Linda Halpern and Kathy Lubar.","Halpern, Belle Linda.",2003,"Gotham Books,",2003,HD57.7 .H345 2003,79,7/2/2014 14:14
b13054351,"The power of followership : how to create leaders people want to follow, and followers who lead themselves / Robert E. Kelley","Kelley, Robert Earl.",1992,"Doubleday/Currency,",c1992,HD57.7 .K45 1992,13,7/27/2011 11:59
b27592467,Chinese business negotiating style / Tony Fang.,"Fang, Tony.",1999,"Sage Publications,",c1999.,HD58.6 .F36 1999,15,4/18/2011 12:53
b47388304,"Essentials of negotiation / Roy J. Lewicki, Bruce Barry, David M. Saunders.","Lewicki, Roy J.",2011,"McGraw-Hill/Irwin,",2011,HD58.6 .L487 2011,12,7/18/2012 14:13
b49046585,"Negotiation genius : how to overcome obstacles and achieve brilliant results at the bargaining table and beyond / Deepak Malhotra, Max H. Bazerman.","Malhotra, Deepak, 1975-",2008,Bantam Dell Pub. Group,2008,HD58.6 .M35 2008,47,9/24/2014 10:19
b3704834x,"Negotiation : readings, exercises, and cases / [edited by] Roy J. Lewicki, Bruce Barry, David M. Saunders.",,2007,"McGraw-Hill/Irwin,",c2007.,HD58.6 .N45 2007,14,4/3/2013 16:18
b29078283,The mind and heart of the negotiator / Leigh L. Thompson.,"Thompson, Leigh L.",2001,"Prentice Hall,",c2001.,HD58.6 .T478 2001,48,11/7/2010 19:26
b27187913,Indian business culture : an insider's guide / Rajiv Desai.,"Desai, Rajiv.",1999,"Butterworth Heinemann,",1999,HD58.7 .D48 1999,12,11/12/2010 16:18
b2410291x,"Organizational behavior / Don Hellriegel, John W. Slocum, Jr., Richard W. Woodman.","Hellriegel, Don.",1995,"West Pub. Co.,",c1995.,HD58.7 .H44 1995,11,1/10/2010 16:44
b22900342,Men and women of the corporation / Rosabeth Moss Kanter,"Kanter, Rosabeth Moss.",1993,"BasicBooks,","c1993, c1977",HD58.7 .K36 1993,20,11/21/2013 9:14
b15658120,Cultures in organizations : three perspectives / Joanne Martin,"Martin, Joanne.",1992,"Oxford University Press,",1992,HD58.7 .M374 1992,30,1/29/2013 11:21
